,Company,Company Description,Date Victimised,Number of Clicks
0,Somagic,"The Somagic is a French company in the production of solid-fuel barbecues and barbecues, the company was founded in 1981. The main office of the company is located at 1 A Rd 975 Cs 20010, La Gente, Bourgogne-Franche-Comte, 71290, France. The credit of this company itself and top management was the worst among the we made deals this year.",2023-10-03 14:45:58,263
1,Windak,"Windak is a cable packaging equipment manufacturing company founded in Sweden in 1994. The company's main office is located at 1661 4th St SW, Conover, North Carolina, 28613, United States",2023-10-02 08:19:08,592
2,Karam Chand Thapar & Bros Coal Sales,"Karam Chand Thapar & Bros Coal Sales - it is the flagship company of the KCT Group of companies. It was founded by the late Karam Chand Axe in 1943. Today, the company provides coal services and logistics.The company's office is located 25 Brabourne Rd, Kolkata, West Bengal, 700084, India",2023-10-02 07:57:12,557
3,LANDSTAR POWER ONTARIO INC,"LANDSTAR POWER ONTARIO INC - canadian company engaged in the purchase of used batteries and various scrap metal with further resale. The company's office is located at 9 Stewart Ct Orangeville, Ontario, L9W 3Z9 CANADA",2023-09-26 23:14:54,2016
4,Acoustic Center,"Acoustic Center is an Italian regional company for the distribution of hearing systems, the distribution and use of hearing aids and related services since 1958.",2023-09-25 23:12:15,1904
5,Philippine Health Insurance,"The Philippine Health Insurance Corporation (PhilHealth) was established in 1995 to provide universal health insurance in the Philippines. It is a tax-exempt, state-owned and controlled corporation (GOGC) of the Philippines, subordinate to the Ministry of Health. Company came to the tor chat but didn't answer for the payment yet.",2023-09-23 07:19:53,10229
6,"Franktronics, Inc","Franktronics, Inc. is an information technology and services company based out of 3618 George Washington Memorial Hwy, Hayes, Virginia, 23072, United States.",2023-09-23 07:19:16,2884
7,Gulf American Lines,"Headquartered in Berkeley Heights, New Jersey, Gulf American Line is a leader in freight forwarding, warehousing and logistics provider. The company occupies a leading position in terms of the volume of transported goods in the United States",2023-09-20 14:16:02,3424
8,Chait,"Chait & Company is a Los Angeles—based firm offering a wide range of architectural design, general contracting and construction management services, recognized in 1994. The company's main office is located at 14931 a Celica St Ste A, Van Nuys, California, 91411, United States",2023-09-20 14:15:18,3299
9,Auckland Transport,"Founded in 2010, Auckland Transport is a company that is responsible for the region's transport infrastructure and public transport including roads and footpaths, cycling, parking, and public transportation. Auckland Transport is located in New Zealand",2023-09-18 07:24:30,4597
10,Steripharma,"Steripharma is a Moroccan pharmaceutical laboratory founded in 1999. Cooperates with both public and private clients in Morocco and Africa. The company's head office is located at 429 So. West St, Syracuse, New York 13202, US",2023-09-11 08:15:25,5700
11,Wave Hill,"Wave Hill is a community garden and cultural center located in New York City. The company's head office is located at 675 W 252nd St, Bronx, New York, 10471, United States",2023-09-11 08:14:53,5192
12,Jules B,"Jules B is a chain of designer clothing stores for men and women in England founded for over 30 years. The company's head office is located at Yellow Brick House, Newcastle upon Tyne, Tyne and Wear NE1 2TY, GB",2023-09-04 07:02:59,6714
13,Betton France,"Administration of the city of Betton (France). The concrete is located in the center of the Rhine agglomeration, 7 km north of Rennes, near the Rennes-Saint-Malo axis and on the Mont Saint-Michel tourist route. Currently, the population of the city is about 11,000 people.",2023-09-04 07:02:24,6128
14,Skynet,"Skynet (https://www.skynetwisp.com/) provides Internet access services, both for the private segment of the market and for public institutions. The company's main office is located at 6630 Fm 1463 Rd 255 Step 500, Katy, Texas, 77494, United States",2023-08-30 08:24:43,6876
15,Aranui Cruises,"Aranui Cruises is the oldest cruise operator in French Polynesia, having been founded 35 years ago. The company has a ship made to order ship ""Aranui 5"" designed for VIP level cruise holidays. The American office of the company is located at 2028 El Camino Real So Te B, San Mateo, California, 94403, United States",2023-08-30 08:23:33,6109
16,Axis Elevators,"Axis Elevators - is one of the largest elevator companies in the UK and Ireland, engaged in the installation, maintenance and modernization of elevators and escalators, as well as other types of lifts. The company was founded more than 100 years ago. The main office of the company is located at 1, 65 Glass Hill Street, London, Greater London, SE10, United Kingdom",2023-08-25 17:19:56,7125
17,Durham Fasteners,"Durham Fasteners is a family-owned company whose roots in the business were laid in 1981. The company specializes in solutions for fasteners, packaging, as well as worldwide deliveries. The company's office is located at 757 Mckay Rd, Block 9, Pickering, Ontario, 1 3C8, Canada",2023-08-25 17:19:21,6514
