,Company,Company Description,Date Victimised,Number of Clicks,Status
0,sirva.com,For media: contact us please. We want to provide you a link for investigating the data we have. Be ready to proof that you're working for some popular media. For others: we will provide you a full dumps a little bit later. We have over 1.5TB of do...,2023-10-14 10:29:00,6307,Published
1,cdwg.com,"data part #2 All the Nasdaq-listed corporation was able to offer was $1,100,000 dollars of the requested $80,000,000 dollars About CDW. CDW Corporation (Nasdaq: CDW) is a leading multi-brand provider of information technology solutions to busin...",2023-10-14 10:29:00,3061,Published
2,cdwg.com,"data part #1 All the Nasdaq-listed corporation was able to offer was $1,100,000 dollars of the requested $80,000,000 dollars About CDW. CDW Corporation (Nasdaq: CDW) is a leading multi-brand provider of information technology solutions to busi...",2023-10-14 10:29:00,2892,Published
3,foremostgroups.com,"Revenue zoominfo 500kk+ Big holding We have all legal data, budgets, forecasts, bank, finance data, salaries, insurances, passports, confidential agreements with customers, audit private info, all human resources data, all consolidation reports...",2023-10-14 10:29:00,3182,Published
4,fdf.org.uk,"The Food and Drink Federation (FDF) is a membership organisation that represents and advises UK food and drink manufacturers. Passports, banks, accounting, juridic, customers and etc private data was downloaded",2023-10-14 10:29:00,3991,Published
5,starplast.ft,"Starplast est située à Ester Technopole à Limoges (87) depuis Mars 2009 dans un bâtiment contemporain de 8000 m². En juin 2020 Starplast rejoint Vitalo Group. Site web : https://www.vitalo.net/ Depuis sa création en 1965, Starplast, reconnue po...",2023-10-14 10:29:00,3866,Published
6,atlantatech.edu,"Atlanta Technical College is a public technical college in Atlanta, Georgia. It is part of the Technical College System of Georgia and provides education services for Fulton and Clayton counties.",2023-10-14 10:29:00,3852,Published
7,cfsigroup.ca,"Better yet, see us in person!",2023-10-14 10:29:00,19894,Published
8,aquinas.qld.edu.au,Aquinas College Ashmore,2023-10-14 10:29:00,12056,Published
9,picosoft.biz,"PicoSoft est une société de services et dingénierie informatique, qui offre une large gamme de solutions innovantes répondant aux besoins de tout type dentreprises en matire de portails dentreprise, de gestion électronique de documents et doutils dai...",2023-10-14 10:29:00,6415,Published
