,Ransomware_Group,Company_Name,Company_Description,Date_of_leak,Number_of_Views,Company_URL,Industry_Type,Company_Address,Company_Country,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
0,Medusa,Somagic,"The Somagic is a French company in the production of solid-fuel barbecues and barbecues, the company was founded in 1981. The main office of the company is located at 1 A Rd 975 Cs 20010, La Gente, Bourgogne-Franche-Comte, 71290, France. The credit of this company itself and top management was the worst among the we made deals this year.",2023-10-03,456,https://www.somagic.fr,Consumer Goods,"La Genète, Saône-et-Loire",France,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1,Medusa,Windak,"Windak is a cable packaging equipment manufacturing company founded in Sweden in 1994. The company's main office is located at 1661 4th St SW, Conover, North Carolina, 28613, United States",2023-10-02,751,http://www.windakgroup.com,Industrial Automation,"Peetri, Harjumaa",Eesti,1,1,0,1,1,0,1,0,0,0,0,,,,,,
2,Medusa,Karam Chand Thapar & Bros Coal Sales,"Karam Chand Thapar & Bros Coal Sales - it is the flagship company of the KCT Group of companies. It was founded by the late Karam Chand Axe in 1943. Today, the company provides coal services and logistics.The company's office is located 25 Brabourne Rd, Kolkata, West Bengal, 700084, India",2023-10-02,725,http://www.kctgroup.com,"Transportation, Logistics, Supply Chain and Storage","Kolkata, West Bengal",India,1,1,0,1,0,0,1,0,0,0,1,,,,,,
3,Medusa,Acoustic Center,"Acoustic Center is an Italian regional company for the distribution of hearing systems, the distribution and use of hearing aids and related services since 1958.",2023-09-25,2058,http://www.acoustic-center.com,Retail,PARIS,France,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,Medusa,Philippine Health Insurance,"The Philippine Health Insurance Corporation (PhilHealth) was established in 1995 to provide universal health insurance in the Philippines. It is a tax-exempt, state-owned and controlled corporation (GOGC) of the Philippines, subordinate to the Ministry of Health. Company came to the tor chat but didn't answer for the payment yet.",2023-09-23,10987,http://www.philhealth.gov.ph,Hospitals and Health Care,"Citystate Centre, 709 Shaw Boulevard, Oranbo, Pasig",Philippines,1,1,1,1,0,1,0,0,0,1,1,,,,,,1
5,Medusa,"Franktronics, Inc","Franktronics, Inc. is an information technology and services company based out of 3618 George Washington Memorial Hwy, Hayes, Virginia, 23072, United States.",2023-09-23,3052,http://franktronics.net,Information Technology & Services,"HAYES, Virginia",United States,0,1,0,1,0,1,0,0,0,1,1,,,,,1,
6,Medusa,Gulf American Lines,"Headquartered in Berkeley Heights, New Jersey, Gulf American Line is a leader in freight forwarding, warehousing and logistics provider. The company occupies a leading position in terms of the volume of transported goods in the United States",2023-09-20,3590,https://www.gulfamerican.com/,Transportation/Trucking/Railroad,"Berkeley Heights, New Jersey",United States,1,1,0,1,0,1,1,0,0,0,1,,,,,,1
7,Medusa,Chait,"Chait & Company is a Los Angeles—based firm offering a wide range of architectural design, general contracting and construction management services, recognized in 1994. The company's main office is located at 14931 a Celica St Ste A, Van Nuys, California, 91411, United States",2023-09-20,3452,https://www.chaitco.com/,Architecture and Planning,"LOS ANGELES, CA  91605",United States,1,1,0,1,1,1,1,0,0,0,0,,,,,,
8,Medusa,Auckland Transport,"Founded in 2010, Auckland Transport is a company that is responsible for the region's transport infrastructure and public transport including roads and footpaths, cycling, parking, and public transportation. Auckland Transport is located in New Zealand",2023-09-18,4758,http://www.at.govt.nz,Government Administration,"Auckland, Auckland",New Zealand / Aotearoa,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,Medusa,Steripharma,"Steripharma is a Moroccan pharmaceutical laboratory founded in 1999. Cooperates with both public and private clients in Morocco and Africa. The company's head office is located at 429 So. West St, Syracuse, New York 13202, US",2023-09-11,5773,http://www.steripharma.com,Pharmaceutical Manufacturing,Casablanca,Morocco,0,1,0,1,0,0,1,0,0,0,1,,,,,,
10,Medusa,Wave Hill,"Wave Hill is a community garden and cultural center located in New York City. The company's head office is located at 675 W 252nd St, Bronx, New York, 10471, United States",2023-09-11,5255,http://www.wavehill.org/,"Museums, Historical Sites, and Zoos","Bronx, New York",United States,1,1,0,1,1,0,1,0,0,0,1,,,,,,
11,Medusa,Jules B,"Jules B is a chain of designer clothing stores for men and women in England founded for over 30 years. The company's head office is located at Yellow Brick House, Newcastle upon Tyne, Tyne and Wear NE1 2TY, GB",2023-09-04,6778,http://www.julesb.co.uk,Retail Apparel and Fashion,"Newcastle Upon Tyne, Tyne & Wear",United Kingdom,1,1,0,1,0,1,1,0,0,0,1,,,,,,1
12,Medusa,Betton France,"Administration of the city of Betton (France). The concrete is located in the center of the Rhine agglomeration, 7 km north of Rennes, near the Rennes-Saint-Malo axis and on the Mont Saint-Michel tourist route. Currently, the population of the city is about 11,000 people.",2023-09-04,6190,https://www.betton.fr/accueil,Government Administration,"PLACE CHARLES DE GAULLE, Betton, Bretagne 35831, FR",France,1,1,0,0,0,0,1,0,0,0,1,,,1,,,
13,Medusa,Skynet,"Skynet (https://www.skynetwisp.com/) provides Internet access services, both for the private segment of the market and for public institutions. The company's main office is located at 6630 Fm 1463 Rd 255 Step 500, Katy, Texas, 77494, United States",2023-08-30,6930,https://www.skynetwisp.com/,Internet Marketplace Platforms,"6630 Fm 1463 Rd 255 Step 500, Katy, Texas, 77494",United States,1,0,0,1,1,1,0,0,0,0,0,,,,,,
14,Medusa,Aranui Cruises,"Aranui Cruises is the oldest cruise operator in French Polynesia, having been founded 35 years ago. The company has a ship made to order ship ""Aranui 5"" designed for VIP level cruise holidays. The American office of the company is located at 2028 El Camino Real So Te B, San Mateo, California, 94403, United States",2023-08-30,6156,http://www.aranui.com,Travel Arrangements,"PAPEETE, TAHITI",France,1,0,0,1,1,0,1,0,0,0,1,,,,,,
15,Medusa,Axis Elevators,"Axis Elevators - is one of the largest elevator companies in the UK and Ireland, engaged in the installation, maintenance and modernization of elevators and escalators, as well as other types of lifts. The company was founded more than 100 years ago. The main office of the company is located at 1, 65 Glass Hill Street, London, Greater London, SE10, United Kingdom",2023-08-25,7173,http://www.axiselevators.co.uk,Industrial Machinery Manufacturing,"Unit G1. Blackfriars Foundry Annexe. 65 Glasshill Street. London,  SE1 0QR. United Kingdom, GB",United Kingdom,1,1,0,1,1,0,0,0,0,0,0,,,,,,1
16,Medusa,Durham Fasteners,"Durham Fasteners is a family-owned company whose roots in the business were laid in 1981. The company specializes in solutions for fasteners, packaging, as well as worldwide deliveries. The company's office is located at 757 Mckay Rd, Block 9, Pickering, Ontario, 1 3C8, Canada",2023-08-25,6561,http://www.durham-fasteners.com,Wholesale Import and Export,"Pickering, ON",Canada,0,1,0,0,0,0,0,0,0,0,0,,,,,,1
